snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
151,302000,6.958266e+07,0.4581,1.217273e+07,0.0801,2,1.181835e-20,0.0794,3.2570
152,304000,7.205514e+07,0.4744,1.434482e+07,0.0944,2,1.166889e-20,0.0803,4.5077
153,306000,7.452760e+07,0.4907,1.651457e+07,0.1087,2,1.144627e-20,0.0775,4.3305
154,308000,7.700007e+07,0.5070,1.866840e+07,0.1229,2,1.170741e-20,0.0795,3.4127
155,310000,7.947254e+07,0.5233,2.086391e+07,0.1374,2,1.174727e-20,0.0763,4.0173
156,312000,8.194501e+07,0.5395,2.304398e+07,0.1517,2,1.204616e-20,0.0786,3.6589
157,314000,8.441747e+07,0.5558,2.521951e+07,0.1660,2,1.176990e-20,0.0792,3.5541
158,316000,8.688994e+07,0.5721,2.738263e+07,0.1803,2,1.209351e-20,0.0788,3.2427
159,318000,8.936241e+07,0.5884,2.955516e+07,0.1946,2,1.180218e-20,0.0802,3.4421
160,320000,9.183488e+07,0.6047,3.175593e+07,0.2091,2,1.210746e-20,0.0769,3.6255
161,322000,9.430734e+07,0.6209,3.390830e+07,0.2233,2,1.207987e-20,0.0764,3.5933
162,324000,9.677982e+07,0.6372,3.607426e+07,0.2375,2,1.214978e-20,0.0786,4.1152
163,326000,9.925228e+07,0.6535,3.826102e+07,0.2519,2,1.211183e-20,0.0798,3.8940
164,328000,1.017248e+08,0.6698,4.045002e+07,0.2663,2,1.231814e-20,0.0763,3.5737
165,330000,1.041972e+08,0.6860,4.263780e+07,0.2807,2,1.241859e-20,0.0791,3.6872
166,332000,1.066697e+08,0.7023,4.477604e+07,0.2948,2,1.231021e-20,0.0795,3.7689
167,334000,1.091422e+08,0.7186,4.696320e+07,0.3092,2,1.219870e-20,0.0780,3.5325
168,336000,1.116146e+08,0.7349,4.916091e+07,0.3237,2,1.227216e-20,0.0779,3.4467
169,338000,1.140871e+08,0.7512,5.130541e+07,0.3378,2,1.230728e-20,0.0790,3.8308
170,340000,1.165596e+08,0.7674,5.349331e+07,0.3522,2,1.240397e-20,0.0809,3.6860
171,342000,1.190320e+08,0.7837,5.568085e+07,0.3666,2,1.249357e-20,0.0795,4.2134
172,344000,1.215045e+08,0.8000,5.783977e+07,0.3808,2,1.244694e-20,0.0820,3.2343
173,346000,1.239770e+08,0.8163,6.000300e+07,0.3951,2,1.265394e-20,0.0793,3.3394
174,348000,1.264494e+08,0.8326,6.219915e+07,0.4095,2,1.256029e-20,0.0800,3.4123
175,350000,1.289219e+08,0.8488,6.435337e+07,0.4237,2,1.283564e-20,0.0776,3.8346
176,352000,1.313944e+08,0.8651,6.654470e+07,0.4381,2,1.280935e-20,0.0802,3.6083
177,354000,1.338668e+08,0.8814,6.870754e+07,0.4524,2,1.269823e-20,0.0778,3.3910
178,356000,1.363393e+08,0.8977,7.091830e+07,0.4669,2,1.271407e-20,0.0797,3.9451
179,358000,1.388118e+08,0.9140,7.311667e+07,0.4814,2,1.304327e-20,0.0789,3.5485
180,360000,1.412842e+08,0.9302,7.530526e+07,0.4958,2,1.284822e-20,0.0789,4.4468
181,362000,1.437567e+08,0.9465,7.749254e+07,0.5102,2,1.301821e-20,0.0786,3.4191
182,364000,1.462292e+08,0.9628,7.966634e+07,0.5245,2,1.290032e-20,0.0755,4.1987
183,366000,1.487016e+08,0.9791,8.190908e+07,0.5393,2,1.296571e-20,0.0795,3.2302
184,368000,1.511741e+08,0.9954,8.410885e+07,0.5538,2,1.321546e-20,0.0809,3.0701
185,370000,1.536466e+08,1.0116,8.630646e+07,0.5683,2,1.295555e-20,0.0801,3.6576
186,372000,1.561190e+08,1.0279,8.850752e+07,0.5827,2,1.293443e-20,0.0766,4.3443
187,374000,1.585915e+08,1.0442,9.068270e+07,0.5971,2,1.319801e-20,0.0792,3.2515
188,376000,1.610640e+08,1.0605,9.288971e+07,0.6116,2,1.313491e-20,0.0786,4.0108
189,378000,1.635364e+08,1.0767,9.510754e+07,0.6262,2,1.307069e-20,0.0755,4.3687
190,380000,1.660089e+08,1.0930,9.730072e+07,0.6406,2,1.346622e-20,0.0771,4.2337
191,382000,1.684814e+08,1.1093,9.947288e+07,0.6549,2,1.302967e-20,0.0781,4.3953
192,384000,1.709539e+08,1.1256,1.016759e+08,0.6694,2,1.346802e-20,0.0792,3.4108
193,386000,1.734263e+08,1.1419,1.038815e+08,0.6840,2,1.361775e-20,0.0799,3.4977
194,388000,1.758988e+08,1.1581,1.060854e+08,0.6985,2,1.350417e-20,0.0763,3.2509
195,390000,1.783713e+08,1.1744,1.082591e+08,0.7128,2,1.345359e-20,0.0783,3.5013
196,392000,1.808437e+08,1.1907,1.104306e+08,0.7271,2,1.359511e-20,0.0794,3.2427
197,394000,1.833162e+08,1.2070,1.126376e+08,0.7416,2,1.379711e-20,0.0777,3.5590
198,396000,1.857887e+08,1.2233,1.148590e+08,0.7562,2,1.339394e-20,0.0800,3.7578
199,398000,1.882611e+08,1.2395,1.170316e+08,0.7706,2,1.353754e-20,0.0748,3.5168
200,400000,1.907336e+08,1.2558,1.192226e+08,0.7850,2,1.376724e-20,0.0793,3.2311
201,402000,1.932061e+08,1.2721,1.214545e+08,0.7997,2,1.386189e-20,0.0772,3.7096
202,404000,1.956785e+08,1.2884,1.236466e+08,0.8141,2,1.363715e-20,0.0783,3.8514
203,406000,1.981510e+08,1.3047,1.258169e+08,0.8284,2,1.376390e-20,0.0804,3.4683
204,408000,2.006235e+08,1.3209,1.280187e+08,0.8429,2,1.365288e-20,0.0798,3.6227
205,410000,2.030959e+08,1.3372,1.302188e+08,0.8574,2,1.403281e-20,0.0799,3.4235
206,412000,2.055684e+08,1.3535,1.324109e+08,0.8718,2,1.431535e-20,0.0793,3.7653
207,414000,2.080409e+08,1.3698,1.345867e+08,0.8861,2,1.388461e-20,0.0795,3.4186
208,416000,2.105133e+08,1.3861,1.367796e+08,0.9006,2,1.413345e-20,0.0794,3.9604
209,418000,2.129858e+08,1.4023,1.389581e+08,0.9149,2,1.408907e-20,0.0797,3.8250
210,420000,2.154583e+08,1.4186,1.411603e+08,0.9294,2,1.437037e-20,0.0808,3.4907
211,422000,2.179308e+08,1.4349,1.433522e+08,0.9439,2,1.398253e-20,0.0772,4.6186
212,424000,2.204032e+08,1.4512,1.455662e+08,0.9584,2,1.431707e-20,0.0773,3.5867
213,426000,2.228757e+08,1.4674,1.477727e+08,0.9730,2,1.435401e-20,0.0789,3.5274
