snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
198,396000,-6.075200e+08,-4.0000,-6.216148e+08,-4.0928,1,2.257745e-21,0.0883,1.0000
199,398000,-6.075200e+08,-4.0000,-6.216452e+08,-4.0930,1,2.257556e-21,0.0883,1.0000
200,400000,-6.075200e+08,-4.0000,-6.216598e+08,-4.0931,1,2.257506e-21,0.0883,1.0000
201,402000,-6.075200e+08,-4.0000,-6.216300e+08,-4.0929,1,2.257658e-21,0.0883,1.0000
202,404000,-6.075200e+08,-4.0000,-6.216372e+08,-4.0929,1,2.257611e-21,0.0883,1.0000
203,406000,-6.075200e+08,-4.0000,-6.216632e+08,-4.0931,1,2.257489e-21,0.0883,1.0000
204,408000,-6.075200e+08,-4.0000,-6.216607e+08,-4.0931,1,2.257473e-21,0.0883,1.0000
205,410000,-6.075200e+08,-4.0000,-6.216588e+08,-4.0931,1,2.257492e-21,0.0883,1.0000
206,412000,-6.075200e+08,-4.0000,-6.216579e+08,-4.0931,1,2.257500e-21,0.0883,1.0000
207,414000,-6.075200e+08,-4.0000,-6.216813e+08,-4.0932,1,2.257367e-21,0.0883,1.0000
208,416000,-6.075200e+08,-4.0000,-6.216896e+08,-4.0933,1,2.257340e-21,0.0883,1.0000
209,418000,-6.075200e+08,-4.0000,-6.217057e+08,-4.0934,1,2.257237e-21,0.0883,1.0000
210,420000,-6.075200e+08,-4.0000,-6.217009e+08,-4.0934,1,2.257250e-21,0.0883,1.0000
211,422000,-6.075200e+08,-4.0000,-6.217080e+08,-4.0934,1,2.257198e-21,0.0883,1.0000
212,424000,-6.075200e+08,-4.0000,-6.216961e+08,-4.0933,1,2.257285e-21,0.0883,1.0000
213,426000,-6.075200e+08,-4.0000,-6.216896e+08,-4.0933,1,2.257309e-21,0.0883,1.0000
214,428000,-6.075200e+08,-4.0000,-6.216831e+08,-4.0933,1,2.257412e-21,0.0883,1.0000
215,430000,-6.075200e+08,-4.0000,-6.216924e+08,-4.0933,1,2.257324e-21,0.0883,1.0000
216,432000,-6.075200e+08,-4.0000,-6.217292e+08,-4.0936,1,2.257110e-21,0.0883,1.0000
217,434000,-6.075200e+08,-4.0000,-6.217281e+08,-4.0935,1,2.257071e-21,0.0883,1.0000
218,436000,-6.075200e+08,-4.0000,-6.217351e+08,-4.0936,1,2.257081e-21,0.0883,1.0000
219,438000,-6.075200e+08,-4.0000,-6.217183e+08,-4.0935,1,2.257171e-21,0.0883,1.0000
220,440000,-6.075200e+08,-4.0000,-6.217224e+08,-4.0935,1,2.257150e-21,0.0883,1.0000
221,442000,-6.075200e+08,-4.0000,-6.217628e+08,-4.0938,1,2.256916e-21,0.0883,1.0000
222,444000,-6.075200e+08,-4.0000,-6.217791e+08,-4.0939,1,2.256816e-21,0.0883,1.0000
