snapshot,step,delta_omega_rad_s,delta_omega_over_kappa,delta_omega_eff_rad_s,delta_omega_eff_over_kappa,label,U_int_J,sech2_corr,contrast
234,468000,1.808425e+08,1.1907,8.745054e+07,0.5758,2,1.321354e-20,0.0768,3.5361
235,470000,1.783700e+08,1.1744,8.513017e+07,0.5605,2,1.317838e-20,0.0800,3.7458
236,472000,1.758976e+08,1.1581,8.280086e+07,0.5452,2,1.299430e-20,0.0770,4.0737
237,474000,1.734251e+08,1.1419,8.049066e+07,0.5300,2,1.271261e-20,0.0774,3.2324
238,476000,1.709526e+08,1.1256,7.816738e+07,0.5147,2,1.292726e-20,0.0777,4.2265
239,478000,1.684801e+08,1.1093,7.585503e+07,0.4994,2,1.279525e-20,0.0791,3.3052
240,480000,1.660077e+08,1.0930,7.355250e+07,0.4843,2,1.278266e-20,0.0748,3.5481
241,482000,1.635352e+08,1.0767,7.123699e+07,0.4690,2,1.254088e-20,0.0820,3.4033
242,484000,1.610628e+08,1.0605,6.892154e+07,0.4538,2,1.303287e-20,0.0775,4.0870
243,486000,1.585903e+08,1.0442,6.660633e+07,0.4385,2,1.271861e-20,0.0803,3.5799
244,488000,1.561178e+08,1.0279,6.428990e+07,0.4233,2,1.272543e-20,0.0773,4.3554
245,490000,1.536453e+08,1.0116,6.196974e+07,0.4080,2,1.260725e-20,0.0772,3.8639
246,492000,1.511729e+08,0.9953,5.963618e+07,0.3927,2,1.243231e-20,0.0787,3.7777
247,494000,1.487004e+08,0.9791,5.730592e+07,0.3773,2,1.260842e-20,0.0791,3.6479
248,496000,1.462279e+08,0.9628,5.499732e+07,0.3621,2,1.237961e-20,0.0793,3.8010
249,498000,1.437555e+08,0.9465,5.270366e+07,0.3470,2,1.219380e-20,0.0770,4.2483
250,500000,1.412830e+08,0.9302,5.040185e+07,0.3319,2,1.229257e-20,0.0763,3.7047
251,502000,1.388105e+08,0.9139,4.814192e+07,0.3170,2,1.249617e-20,0.0772,4.0312
252,504000,1.363381e+08,0.8977,4.583643e+07,0.3018,2,1.215460e-20,0.0765,3.7148
253,506000,1.338656e+08,0.8814,4.354753e+07,0.2867,2,1.220417e-20,0.0793,3.5873
254,508000,1.313931e+08,0.8651,4.122838e+07,0.2715,2,1.214673e-20,0.0775,3.4708
255,510000,1.289207e+08,0.8488,3.892873e+07,0.2563,2,1.225364e-20,0.0778,3.8835
256,512000,1.264482e+08,0.8326,3.666325e+07,0.2414,2,1.236279e-20,0.0813,3.3931
257,514000,1.239757e+08,0.8163,3.438770e+07,0.2264,2,1.210166e-20,0.0800,3.8501
258,516000,1.215033e+08,0.8000,3.210868e+07,0.2114,2,1.204196e-20,0.0762,3.7521
259,518000,1.190308e+08,0.7837,2.984632e+07,0.1965,2,1.196039e-20,0.0797,3.4424
260,520000,1.165583e+08,0.7674,2.756078e+07,0.1815,2,1.197413e-20,0.0792,3.7974
261,522000,1.140859e+08,0.7512,2.526568e+07,0.1664,2,1.171157e-20,0.0787,3.7614
262,524000,1.116134e+08,0.7349,2.299178e+07,0.1514,2,1.195556e-20,0.0778,3.6953
263,526000,1.091409e+08,0.7186,2.071559e+07,0.1364,2,1.172706e-20,0.0797,3.9783
264,528000,1.066684e+08,0.7023,1.844473e+07,0.1214,2,1.168544e-20,0.0762,3.6916
265,530000,1.041960e+08,0.6860,1.614548e+07,0.1063,2,1.159289e-20,0.0792,3.9769
